Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
Movie [year=1993, title=The Nutcracker, duration=92, genres=Family, rating=G, score=5.7, director=Emile Ardolino, actor1=Darci Kistler, actor2=Kyra Nichols, actor3=Margaret Tracey]
